quadrimestre,turno,n_turmas,n_avaliados,n_aprovados,n_reprovados,taxa_reprov_pool,taxa_reprov_media_turmas,taxa_reprov_dp_turmas,taxa_reprov_min_turmas,taxa_reprov_max_turmas
2019.2,noturno,2,79,47,32,0.4050632911392405,0.3969638242894057,0.12927081335645535,0.3055555555555556,0.4883720930232558
2019.3,diurno,2,140,97,43,0.30714285714285716,0.3075980392156863,0.022530363126041952,0.2916666666666667,0.3235294117647059
2019.3,noturno,2,51,18,33,0.6470588235294118,0.6484615384615384,0.10117066253899835,0.5769230769230769,0.72
2020.1,diurno,21,711,518,193,0.2714486638537271,0.2857009557224619,0.2071166128838624,0.0,0.6428571428571429
2020.1,noturno,19,412,252,160,0.3883495145631068,0.44215616172918687,0.3128185008784689,0.0,0.875
2021.2,diurno,17,669,488,181,0.2705530642750374,0.25809636452527185,0.1541444168011257,0.0,0.5526315789473685
2021.2,noturno,17,675,484,191,0.28296296296296297,0.25910665429346935,0.18486756255883277,0.0,0.6
2022.2,diurno,22,525,425,100,0.19047619047619047,0.19033347660698754,0.1298353595308673,0.0,0.48
2022.2,noturno,22,625,457,168,0.2688,0.2689531457398878,0.10226578606576765,0.037037037037037035,0.44
2022.3,diurno,5,101,58,43,0.42574257425742573,0.4343661879467506,0.2375527972188543,0.17391304347826086,0.782608695652174
2022.3,noturno,4,123,76,47,0.3821138211382114,0.3494694960212202,0.2423187381727958,0.15384615384615385,0.6923076923076923
2023.2,diurno,16,626,528,98,0.15654952076677317,0.17050090374391902,0.16581821239274258,0.02040816326530612,0.625
2023.2,noturno,16,618,440,178,0.28802588996763756,0.2847920609642636,0.137678049488011,0.03125,0.5263157894736842
2023.3,noturno,6,251,199,52,0.20717131474103587,0.20862762293500414,0.07658104019217983,0.13513513513513514,0.32432432432432434
2024.1,diurno,17,637,529,108,0.1695447409733124,0.17449348713356247,0.15569104715511445,0.029411764705882353,0.5526315789473685
2024.1,noturno,17,643,434,209,0.3250388802488336,0.3410057403371388,0.20597311225894221,0.0851063829787234,0.75
