quadrimestre,turma,turno,campus,matriz,docente_id,periodo_ideal,n_A,n_B,n_C,n_D,n_F,n_O,n_incompleto,n_sem_conceito,n_avaliados,n_aprovados,n_reprovados,taxa_reprov
2011.3,,noturno,SA,pre-2015,,0,4,3,4,2,8,0,4,0,21,13,8,0.38095238095238093
2011.3,,noturno,SA,pre-2015,,0,2,3,0,0,9,0,0,0,14,5,9,0.6428571428571429
2011.3,,noturno,SA,pre-2015,,0,0,3,1,1,8,0,0,0,13,5,8,0.6153846153846154
2012.1,,diurno,SA,pre-2015,,1,14,3,3,2,3,6,0,0,31,22,9,0.2903225806451613
2012.1,,diurno,SA,pre-2015,,1,13,6,4,0,4,1,0,0,28,23,5,0.17857142857142858
2012.1,,diurno,SA,pre-2015,,1,17,7,2,2,2,0,0,0,30,28,2,0.06666666666666667
2012.1,,diurno,SBC,pre-2015,,1,3,6,2,2,5,0,0,0,18,13,5,0.2777777777777778
2012.1,,diurno,SA,pre-2015,,1,9,5,7,2,4,0,0,0,27,23,4,0.14814814814814814
2012.1,,diurno,SA,pre-2015,,1,6,9,5,0,3,3,0,0,26,20,6,0.23076923076923078
2012.1,,diurno,SA,pre-2015,,1,8,9,4,1,4,1,0,0,27,22,5,0.18518518518518517
2012.1,,diurno,SBC,pre-2015,,1,1,12,4,1,3,0,0,0,21,18,3,0.14285714285714285
2012.1,,diurno,SA,pre-2015,,1,4,4,3,4,12,1,0,0,28,15,13,0.4642857142857143
2012.1,,diurno,SA,pre-2015,,1,3,6,5,3,6,2,0,0,25,17,8,0.32
2012.1,,diurno,SA,pre-2015,,1,6,6,7,0,6,0,0,0,25,19,6,0.24
2012.1,,diurno,SBC,pre-2015,,1,5,10,2,0,5,0,0,0,22,17,5,0.22727272727272727
2012.1,,diurno,SA,pre-2015,,1,10,4,1,0,11,0,0,0,26,15,11,0.4230769230769231
2012.1,,diurno,SA,pre-2015,,1,7,12,2,0,9,1,0,1,31,21,10,0.3225806451612903
2012.1,,diurno,SA,pre-2015,,1,9,3,3,4,5,0,0,0,24,19,5,0.20833333333333334
2012.1,,diurno,SA,pre-2015,,1,5,5,4,4,9,0,0,0,27,18,9,0.3333333333333333
2012.1,,diurno,SA,pre-2015,,1,9,9,3,1,7,0,0,0,29,22,7,0.2413793103448276
2012.1,,diurno,SA,pre-2015,,1,6,2,4,2,14,0,0,0,28,14,14,0.5
2012.1,,diurno,SA,pre-2015,,1,2,4,8,0,7,0,0,0,21,14,7,0.3333333333333333
2012.1,,diurno,SA,pre-2015,,1,1,4,6,7,3,2,0,0,23,18,5,0.21739130434782608
2012.1,,diurno,SA,pre-2015,,1,2,3,3,4,7,0,0,0,19,12,7,0.3684210526315789
2012.1,,noturno,SA,pre-2015,,1,11,4,8,2,5,0,0,0,30,25,5,0.16666666666666666
2012.1,,noturno,SA,pre-2015,,1,6,7,8,1,6,0,0,0,28,22,6,0.21428571428571427
2012.1,,noturno,SA,pre-2015,,1,2,6,9,1,11,0,0,0,29,18,11,0.3793103448275862
2012.1,,noturno,SBC,pre-2015,,1,6,6,5,3,8,1,0,0,29,20,9,0.3103448275862069
2012.1,,noturno,SA,pre-2015,,1,2,3,8,0,15,0,0,0,28,13,15,0.5357142857142857
2012.1,,noturno,SA,pre-2015,,1,1,14,7,1,3,0,0,0,26,23,3,0.11538461538461539
2012.1,,noturno,SA,pre-2015,,1,3,7,8,0,7,3,0,0,28,18,10,0.35714285714285715
2012.1,,noturno,SBC,pre-2015,,1,5,6,8,0,8,1,0,0,28,19,9,0.32142857142857145
2012.1,,noturno,SA,pre-2015,,1,1,11,9,0,6,0,0,0,27,21,6,0.2222222222222222
2012.1,,noturno,SA,pre-2015,,1,1,9,2,3,11,1,0,0,27,15,12,0.4444444444444444
2012.1,,noturno,SA,pre-2015,,1,0,3,10,4,13,0,0,0,30,17,13,0.43333333333333335
2012.1,,noturno,SBC,pre-2015,,1,3,4,8,0,9,2,0,0,26,15,11,0.4230769230769231
2012.1,,noturno,SA,pre-2015,,1,2,5,10,4,8,0,0,0,29,21,8,0.27586206896551724
2012.1,,noturno,SA,pre-2015,,1,2,4,5,4,9,0,0,0,24,15,9,0.375
2012.1,,noturno,SA,pre-2015,,1,2,6,5,1,15,0,0,0,29,14,15,0.5172413793103449
2012.1,,noturno,SA,pre-2015,,1,2,4,6,3,14,0,0,0,29,15,14,0.4827586206896552
2012.1,,noturno,SA,pre-2015,,1,5,10,8,3,5,0,0,0,31,26,5,0.16129032258064516
2012.1,,noturno,SA,pre-2015,,1,3,7,5,2,10,0,0,0,27,17,10,0.37037037037037035
2012.1,,noturno,SA,pre-2015,,1,9,6,4,0,6,0,0,0,25,19,6,0.24
2012.1,,noturno,SA,pre-2015,,1,5,8,0,1,11,0,0,0,25,14,11,0.44
2012.1,,noturno,SA,pre-2015,,1,4,5,2,2,17,0,0,0,30,13,17,0.5666666666666667
2012.1,,noturno,SA,pre-2015,,1,1,8,6,6,4,3,0,0,28,21,7,0.25
2012.1,,noturno,SA,pre-2015,,1,2,6,9,3,4,2,0,0,26,20,6,0.23076923076923078
2012.1,,noturno,SA,pre-2015,,1,4,9,7,4,3,1,0,0,28,24,4,0.14285714285714285
2012.3,,diurno,SA,pre-2015,,0,1,0,2,1,2,10,0,0,16,4,12,0.75
2012.3,,diurno,SA,pre-2015,,0,1,2,0,0,5,11,0,0,19,3,16,0.8421052631578947
2012.3,,diurno,SA,pre-2015,,0,0,3,3,2,6,7,0,0,21,8,13,0.6190476190476191
2012.3,,diurno,SBC,pre-2015,,0,0,8,5,0,1,3,0,0,17,13,4,0.23529411764705882
2012.3,,noturno,SA,pre-2015,,0,0,1,2,1,4,11,0,0,19,4,15,0.7894736842105263
2012.3,,noturno,SA,pre-2015,,0,0,0,3,1,6,9,0,0,19,4,15,0.7894736842105263
2012.3,,noturno,SA,pre-2015,,0,0,3,0,1,10,5,0,0,19,4,15,0.7894736842105263
2012.3,,noturno,SA,pre-2015,,0,0,4,6,1,10,2,0,0,23,11,12,0.5217391304347826
2012.3,,noturno,SA,pre-2015,,0,3,5,4,1,10,0,0,0,23,13,10,0.43478260869565216
2012.3,,noturno,SA,pre-2015,,0,0,13,1,2,11,0,0,0,27,16,11,0.4074074074074074
2012.3,,noturno,SBC,pre-2015,,0,1,4,4,0,1,0,0,4,10,9,1,0.1
2013.1,,diurno,SA,pre-2015,,1,16,8,3,0,2,0,0,0,29,27,2,0.06896551724137931
2013.1,,diurno,SBC,pre-2015,,1,3,5,6,5,3,2,0,0,24,19,5,0.20833333333333334
2013.1,,diurno,SA,pre-2015,,1,10,11,4,0,4,0,0,0,29,25,4,0.13793103448275862
2013.1,,diurno,SA,pre-2015,,1,13,11,2,1,1,0,0,0,28,27,1,0.03571428571428571
2013.1,,diurno,SBC,pre-2015,,1,6,10,7,2,6,0,0,0,31,25,6,0.1935483870967742
2013.1,,diurno,SA,pre-2015,,1,10,5,4,1,6,2,0,0,28,20,8,0.2857142857142857
2013.1,,diurno,SA,pre-2015,,1,4,2,2,0,6,1,0,0,15,8,7,0.4666666666666667
2013.1,,diurno,SA,pre-2015,,1,7,6,2,0,9,1,0,0,25,15,10,0.4
2013.1,,diurno,SA,pre-2015,,1,29,18,15,12,11,0,0,0,85,74,11,0.12941176470588237
2013.1,,diurno,SA,pre-2015,,1,8,5,5,0,5,1,0,0,24,18,6,0.25
2013.1,,diurno,SBC,pre-2015,,1,5,8,6,2,2,1,0,0,24,21,3,0.125
2013.1,,diurno,SA,pre-2015,,1,4,11,6,1,5,0,0,0,27,22,5,0.18518518518518517
2013.1,,diurno,SA,pre-2015,,1,8,4,13,0,2,0,0,0,27,25,2,0.07407407407407407
2013.1,,diurno,SA,pre-2015,,1,7,6,5,1,8,1,0,0,28,19,9,0.32142857142857145
