term,class_label,shift,campus,curriculum,on_schedule_term,instructor_prior,n_A,n_B,n_C,n_D,n_F,n_O,n_I,n_no_grade,n_assessed,n_passed,n_failed
2016.1,,day,1,2015,1,False,4,10,4,5,3,1,0,0,27,23,4
2016.1,,day,1,2015,1,False,15,10,3,0,0,0,0,0,28,28,0
2016.1,,day,2,2015,1,False,23,8,1,1,0,1,0,0,34,33,1
2016.1,,day,1,2015,1,False,5,6,6,3,2,0,0,0,22,20,2
2016.1,,day,1,2015,1,False,5,8,6,1,2,1,0,0,23,20,3
2016.1,,day,1,2015,1,False,7,11,3,5,1,0,0,0,27,26,1
2016.1,,day,1,2015,1,False,3,3,6,5,3,0,0,0,20,17,3
2016.1,,day,1,2015,1,False,3,11,5,5,3,0,0,0,27,24,3
2016.1,,day,2,2015,1,False,8,9,7,5,6,1,0,0,36,29,7
2016.1,,day,1,2015,1,False,3,8,7,6,1,0,0,1,25,24,1
2016.1,,day,1,2015,1,False,13,20,21,9,33,1,0,0,97,63,34
2016.1,,day,2,2015,1,False,3,10,10,5,18,2,0,0,48,28,20
2016.1,,evening,1,2015,1,False,1,3,6,0,0,5,0,0,15,10,5
2016.1,,evening,2,2015,1,False,9,13,7,1,3,1,0,0,34,30,4
2016.1,,evening,2,2015,1,False,4,5,6,0,2,5,0,0,22,15,7
2016.1,,evening,1,2015,1,False,9,14,5,0,0,1,0,0,29,28,1
2016.1,,evening,1,2015,1,False,0,9,13,0,0,3,0,0,25,22,3
2016.1,,evening,1,2015,1,False,2,1,2,2,4,6,0,0,17,7,10
2016.1,,evening,1,2015,1,False,1,1,1,1,3,8,0,0,15,4,11
2016.1,,evening,2,2015,1,False,16,10,11,0,2,0,0,0,39,37,2
2016.1,,evening,1,2015,1,False,0,2,1,0,4,11,0,0,18,3,15
2016.1,,evening,2,2015,1,False,7,15,1,0,9,3,0,0,35,23,12
2016.1,,evening,1,2015,1,False,0,1,5,5,2,6,0,0,19,11,8
2016.1,,evening,1,2015,1,False,7,9,4,3,0,0,0,0,23,23,0
2016.1,,evening,1,2015,1,False,10,9,5,3,0,0,0,0,27,27,0
